tweet_id,airline_sentiment,airline,text,tweet_coord,tweet_created,tweet_location,user_timezone,predicted_sentiment,predicted_topic
5.7029446047676e+17,positive,Delta,jetblue thank information,"[0.0, 0.0]",2015-02-24 10:49:29 -0800,"Boston, MA",Athens,positive,1
5.70289518194127e+17,positive,Delta,jetblue great,"[0.0, 0.0]",2015-02-24 10:29:51 -0800,"Boston, MA",Eastern Time (US & Canada),positive,1
5.70288803849638e+17,positive,Delta,jetblue thanks great recap wouldnt able sleep nervous bad guy get away,"[0.0, 0.0]",2015-02-24 10:27:00 -0800,Canton MA,Eastern Time (US & Canada),positive,1
5.70287704728085e+17,positive,Delta,jetblue flight proud fly jet blue,"[0.0, 0.0]",2015-02-24 10:22:38 -0800,"Boston, MA",Eastern Time (US & Canada),positive,1
5.70287622343541e+17,positive,Delta,jetblue awesome thanks hold,"[0.0, 0.0]",2015-02-24 10:22:19 -0800,"Boston, MA ",Eastern Time (US & Canada),positive,1
5.70280008557548e+17,positive,Delta,jetblue see work pick trip two type,"[0.0, 0.0]",2015-02-24 09:52:03 -0800,New York-ish + Airport Bars,Eastern Time (US & Canada),positive,0
5.70278619416695e+17,positive,Delta,jetblue thanks quick reply want make sure wasnt account,"[0.0, 0.0]",2015-02-24 09:46:32 -0800,Seattle,Pacific Time (US & Canada),positive,1
5.70276843812733e+17,positive,Delta,jetblue wouldnt mind pay snack tix great job guy,"[0.0, 0.0]",2015-02-24 09:39:29 -0800,US,Eastern Time (US & Canada),positive,1
5.70251142942171e+17,positive,Delta,jetblue go napkin pretty much say httptcooxyjnpjm,"[0.0, 0.0]",2015-02-24 07:57:21 -0800,anaheim,Eastern Time (US & Canada),positive,1
5.70246294582772e+17,positive,Delta,jetblueheart arrow,"[0.0, 0.0]",2015-02-24 07:38:05 -0800,"Boston, MA",Atlantic Time (Canada),positive,5
5.70243767585935e+17,positive,Delta,jetblue longing look blue eye firstlove,"[0.0, 0.0]",2015-02-24 07:28:03 -0800,"Boston, MA",Eastern Time (US & Canada),positive,4
5.70242512012452e+17,positive,Delta,jetblue best flyfi ondemand leatherseats hipunis legroom,"[0.0, 0.0]",2015-02-24 07:23:04 -0800,"Boston, MA",Eastern Time (US & Canada),positive,2
5.70239272575316e+17,positive,Delta,eatgregeat wowthx think u greg heard sobewff amaze weve heard jetblue p thx info teamnkh,"[0.0, 0.0]",2015-02-24 07:10:11 -0800,"Washington, DC",Eastern Time (US & Canada),positive,4
5.70237343669608e+17,positive,Delta,jetblue thank much,"[0.0, 0.0]",2015-02-24 07:02:31 -0800,All over ...,Eastern Time (US & Canada),positive,1
5.70233869212856e+17,positive,Delta,jetblue glow crew aircraft sparkle guy know nokidhungry right might good partnership,"[34.02763089, -118.49627894]",2015-02-24 06:48:43 -0800,"Boston, MA",Eastern Time (US & Canada),positive,1
5.70232616755929e+17,positive,Delta,jetblue glad like feel free steal,"[0.0, 0.0]",2015-02-24 06:43:44 -0800,"Boston, MA",Eastern Time (US & Canada),positive,0
5.70231750959329e+17,positive,Delta,jetblue blue help bring color eye promise didnt eat free snack,"[34.02764112, -118.49636416]",2015-02-24 06:40:18 -0800,"Boston, MA",Eastern Time (US & Canada),positive,1
